Step,Price,Tokens,Value(USD),Cumulative Tokens,Cumulative Value(USD)
20,0.000081,5421686.7470,439.156627,108433734.9400,5736.144580
21,0.000085,5421686.7470,460.843373,113855421.6870,6196.987953
22,0.000089,5421686.7470,482.530120,119277108.4340,6679.518073
23,0.000094,5421686.7470,509.638554,124698795.1810,7189.156627
24,0.000098,5421686.7470,531.325301,130120481.9280,7720.481928
25,0.000103,5421686.7470,558.433735,135542168.6750,8278.915663
26,0.000108,5421686.7470,585.542169,140963855.4220,8864.457832
27,0.000114,5421686.7470,618.072289,146385542.1690,9482.530121
28,0.000119,5421686.7470,645.180723,151807228.9160,10127.710844
29,0.000125,5421686.7470,677.710843,157228915.6630,10805.421687
30,0.000132,5421686.7470,715.662651,162650602.4100,11521.084338
31,0.000138,5421686.7470,748.192771,168072289.1570,12269.277109
32,0.000145,5421686.7470,786.144578,173493975.9040,13055.421687
33,0.000152,5421686.7470,824.096386,178915662.6510,13879.518073
34,0.000160,5421686.7470,867.469880,184337349.3980,14746.987953
35,0.000168,5421686.7470,910.843373,189759036.1450,15657.831326
36,0.000176,5421686.7470,954.216867,195180722.8920,16612.048193
37,0.000185,5421686.7470,1003.012048,200602409.6390,17615.060241
38,0.000194,5421686.7470,1051.807229,206024096.3860,18666.867470
39,0.000204,5421686.7470,1106.024096,211445783.1330,19772.891566
40,0.000214,5421686.7470,1160.240964,216867469.8800,20933.132530
41,0.000225,5421686.7470,1219.879518,222289156.6270,22153.012048
42,0.000236,5421686.7470,1279.518072,227710843.3740,23432.530120
43,0.000248,5421686.7470,1344.578313,233132530.1210,24777.108433
44,0.000261,5421686.7470,1415.060241,238554216.8680,26192.168674
45,0.000274,5421686.7470,1485.542169,243975903.6150,27677.710843
46,0.000287,5421686.7470,1556.024096,249397590.3620,29233.734939
47,0.000302,5421686.7470,1637.349398,254819277.1090,30871.084337
48,0.000317,5421686.7470,1718.674699,260240963.8560,32589.759036
49,0.000333,5421686.7470,1805.421687,265662650.6030,34395.180723
50,0.000349,5421686.7470,1892.168675,271084337.3500,36287.349398
51,0.000367,5421686.7470,1989.759036,276506024.0970,38277.108434
52,0.000385,5421686.7470,2087.349398,281927710.8440,40364.457832
53,0.000404,5421686.7470,2190.361446,287349397.5910,42554.819278
54,0.000424,5421686.7470,2298.795181,292771084.3380,44853.614459
55,0.000446,5421686.7470,2418.072289,298192771.0850,47271.686748
56,0.000468,5421686.7470,2537.349398,303614457.8320,49809.036146
57,0.000491,5421686.7470,2662.048193,309036144.5790,52471.084339
58,0.000516,5421686.7470,2797.590361,314457831.3260,55268.674700
59,0.000542,5421686.7470,2938.554217,319879518.0730,58207.228917
60,0.000569,5421686.7470,3084.939759,325301204.8200,61292.168676
61,0.000597,5421686.7470,3236.746988,330722891.5670,64528.915664
62,0.000627,5421686.7470,3399.397590,336144578.3140,67928.313254
63,0.000658,5421686.7470,3567.469880,341566265.0610,71495.783134
64,0.000691,5421686.7470,3746.385542,346987951.8080,75242.168676
65,0.000726,5421686.7470,3936.144578,352409638.5550,79178.313254
66,0.000762,5421686.7470,4131.325301,357831325.3020,83309.638555
67,0.000800,5421686.7470,4337.349398,363253012.0490,87646.987953
68,0.000840,5421686.7470,4554.216867,368674698.7960,92201.204820
69,0.000882,5421686.7470,4781.927711,374096385.5430,96983.132531
70,0.000926,5421686.7470,5020.481928,379518072.2900,102003.614459
71,0.000972,5421686.7470,5269.879518,384939759.0370,107273.493977
72,0.001021,5421686.7470,5535.542169,390361445.7840,112809.036146
73,0.001072,5421686.7470,5812.048193,395783132.5310,118621.084339
74,0.001126,5421686.7470,6104.819277,401204819.2780,124725.903616
75,0.001182,5421686.7470,6408.433735,406626506.0250,131134.337351
76,0.001241,5421686.7470,6728.313253,412048192.7720,137862.650604
77,0.001303,5421686.7470,7064.457831,417469879.5190,144927.108435
78,0.001368,5421686.7470,7416.867470,422891566.2660,152343.975905
79,0.001436,5421686.7470,7785.542169,428313253.0130,160129.518074
80,0.001508,5421686.7470,8175.903614,433734939.7600,168305.421688
81,0.001584,5421686.7470,8587.951807,439156626.5070,176893.373495
82,0.001663,5421686.7470,9016.265060,444578313.2540,185909.638555
83,0.001746,5421686.7470,9466.265060,450000000.0010,195375.903615
84,0.001833,5421686.7470,9937.951807,455421686.7480,205313.855422
85,0.001925,5421686.7470,10436.746988,460843373.4950,215750.602410
86,0.002021,5421686.7470,10957.228916,466265060.2420,226707.831326
87,0.002122,5421686.7470,11504.819277,471686746.9890,238212.650603
88,0.002228,5421686.7470,12079.518072,477108433.7360,250292.168675
89,0.002339,5421686.7470,12681.325301,482530120.4830,262973.493976
90,0.002456,5421686.7470,13315.662651,487951807.2300,276289.156627
91,0.002579,5421686.7470,13982.530121,493373493.9770,290271.686748
92,0.002708,5421686.7470,14681.927711,498795180.7240,304953.614459
93,0.002843,5421686.7470,15413.855422,504216867.4710,320367.469881
94,0.002985,5421686.7470,16183.734940,509638554.2180,336551.204821
95,0.003134,5421686.7470,16991.566265,515060240.9650,353542.771086
96,0.003291,5421686.7470,17842.771084,520481927.7120,371385.542170
97,0.003456,5421686.7470,18737.349398,525903614.4590,390122.891568
98,0.003628,5421686.7470,19669.879518,531325301.2060,409792.771086
99,0.003810,5421686.7470,20656.626506,536746987.9530,430449.397592
100,0.004000,5421686.7470,21686.746988,542168674.7000,452136.144580
101,0.004200,5421686.7470,22771.084337,547590361.4470,474907.228917
102,0.004410,5421686.7470,23909.638554,553012048.1940,498816.867471
103,0.004630,5421686.7470,25102.409639,558433734.9410,523919.277110
104,0.004862,5421686.7470,26360.240964,563855421.6880,550279.518074
105,0.005105,5421686.7470,27677.710843,569277108.4350,577957.228917
106,0.005360,5421686.7470,29060.240964,574698795.1820,607017.469881
107,0.005628,5421686.7470,30513.253012,580120481.9290,637530.722893
108,0.005909,5421686.7470,32036.746988,585542168.6760,669567.469881
109,0.006204,5421686.7470,33636.144578,590963855.4230,703203.614459
110,0.006514,5421686.7470,35316.867470,596385542.1700,738520.481929
111,0.006840,5421686.7470,37084.337349,601807228.9170,775604.819278
112,0.007182,5421686.7470,38938.554217,607228915.6640,814543.373495
113,0.007541,5421686.7470,40884.939759,612650602.4110,855428.313254
114,0.007918,5421686.7470,42928.915663,618072289.1580,898357.228917
115,0.008313,5421686.7470,45070.481928,623493975.9050,943427.710845
116,0.008729,5421686.7470,47325.903615,628915662.6520,990753.614460
117,0.009165,5421686.7470,49689.759036,634337349.3990,1040443.373496
118,0.009623,5421686.7470,52172.891566,639759036.1460,1092616.265062
119,0.010104,5421686.7470,54780.722892,645180722.8930,1147396.987954
120,0.010609,5421686.7470,57518.674699,650602409.6400,1204915.662653
121,0.011139,5421686.7470,60392.168675,656024096.3870,1265307.831328
122,0.011696,5421686.7470,63412.048193,661445783.1340,1328719.879521
123,0.012281,5421686.7470,66583.734940,666867469.8810,1395303.614461
124,0.012894,5421686.7470,69907.228916,672289156.6280,1465210.843377
125,0.013539,5421686.7470,73404.216868,677710843.3750,1538615.060245
126,0.014216,5421686.7470,77074.698795,683132530.1220,1615689.759040
127,0.014926,5421686.7470,80924.096386,688554216.8690,1696613.855426
128,0.015672,5421686.7470,84968.674699,693975903.6160,1781582.530125
129,0.016455,5421686.7470,89213.855422,699397590.3630,1870796.385547
130,0.017278,5421686.7470,93675.903615,704819277.1100,1964472.289162
131,0.018141,5421686.7470,98354.819277,710240963.8570,2062827.108439
132,0.019048,5421686.7470,103272.289157,715662650.6040,2166099.397596
133,0.020000,5421686.7470,108433.734940,721084337.3510,2274533.132536
134,0.021000,5421686.7470,113855.421687,726506024.0980,2388388.554223
135,0.022049,5421686.7470,119542.771085,731927710.8450,2507931.325308
136,0.023151,5421686.7470,125517.469880,737349397.5920,2633448.795188
137,0.024308,5421686.7470,131790.361446,742771084.3390,2765239.156634
138,0.025523,5421686.7470,138377.710844,748192771.0860,2903616.867478
139,0.026799,5421686.7470,145295.783133,753614457.8330,3048912.650611
140,0.028138,5421686.7470,152555.421687,759036144.5800,3201468.072298
141,0.029545,5421686.7470,160183.734940,764457831.3270,3361651.807238
142,0.031021,5421686.7470,168186.144579,769879518.0740,3529837.951817
143,0.032572,5421686.7470,176595.180723,775301204.8210,3706433.132540
144,0.034200,5421686.7470,185421.686747,780722891.5680,3891854.819287
145,0.035909,5421686.7470,194687.349398,786144578.3150,4086542.168685
146,0.037704,5421686.7470,204419.277109,791566265.0620,4290961.445794
147,0.039588,5421686.7470,214633.734940,796987951.8090,4505595.180734
148,0.041567,5421686.7470,225363.253013,802409638.5560,4730958.433747
149,0.043644,5421686.7470,236624.096386,807831325.3030,4967582.530133
150,0.045825,5421686.7470,248448.795181,813253012.0500,5216031.325314
151,0.048116,5421686.7470,260869.879519,818674698.7970,5476901.204833
152,0.050520,5421686.7470,273903.614458,824096385.5440,5750804.819291
153,0.053045,5421686.7470,287593.373495,829518072.2910,6038398.192786
154,0.055697,5421686.7470,301971.686748,834939759.0380,6340369.879534
155,0.058480,5421686.7470,317060.240965,840361445.7850,6657430.120499
156,0.061403,5421686.7470,332907.831326,845783132.5320,6990337.951825
157,0.064472,5421686.7470,349546.987953,851204819.2790,7339884.939778
158,0.067694,5421686.7470,367015.662651,856626506.0260,7706900.602429
159,0.071078,5421686.7470,385362.650603,862048192.7730,8092263.253032
160,0.074630,5421686.7470,404620.481929,867469879.5200,8496883.734961
161,0.078360,5421686.7470,424843.373495,872891566.2670,8921727.108456
162,0.082277,5421686.7470,446080.120483,878313253.0140,9367807.228939
163,0.086389,5421686.7470,468374.096387,883734939.7610,9836181.325326
164,0.090706,5421686.7470,491779.518073,889156626.5080,10327960.843399
165,0.095240,5421686.7470,516361.445784,894578313.2550,10844322.289183
166,0.100000,5421686.7470,542168.674700,900000000.0020,11386490.963883
